L,T,S,PY,B,D,X,SP,P,Y,HDate,H,SSC
B,B1,0,2011,1,1,1,na,172,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,173,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,174,2011,2011,2011,11.1
B,B1,0,2011,1,1,1,na,175,2011,2011,2011,11.3
B,B1,0,2011,1,1,1,na,176,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,177,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,178,2011,2011,2011,7.1
B,B1,0,2011,1,1,1,na,179,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,180,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,181,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,182,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,183,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,184,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,185,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,186,2011,2011,2011,14.1
B,B1,0,2011,1,1,1,na,187,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,188,2011,2011,2011,12.4
B,B1,0,2011,1,1,1,na,189,2011,2011,2011,14.4
B,B1,0,2011,1,1,1,na,190,2011,2011,2011,8.7
B,B1,0,2011,1,1,1,na,191,2011,2011,2011,9.6
B,B1,0,2011,1,1,1,na,192,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,193,2011,2011,2011,11.5
B,B1,0,2011,1,1,1,na,194,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,195,2011,2011,2011,10.6
B,B1,0,2011,1,1,1,na,196,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,197,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,198,2011,2011,2011,15.4
B,B1,0,2011,1,1,1,na,199,2011,2011,2011,9.6
B,B1,0,2011,1,1,1,na,200,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,201,2011,2011,2011,9.1
B,B1,0,2011,1,1,1,na,202,2011,2011,2011,11.8
B,B1,0,2011,1,1,1,na,203,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,204,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,205,2011,2011,2011,11
B,B1,0,2011,1,1,1,na,206,2011,2011,2011,9.5
B,B1,0,2011,1,1,1,na,207,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,208,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,209,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,210,2011,2011,2011,10.9
B,B1,0,2011,1,1,1,na,211,2011,2011,2011,9.7
B,B1,0,2011,1,1,1,na,212,2011,2011,2011,10.7
B,B1,0,2011,1,1,1,na,213,2011,2011,2011,9.8
B,B1,0,2011,1,1,1,na,214,2011,2011,2011,8.9
B,B1,0,2011,1,1,1,na,215,2011,2011,2011,12.7
B,B1,0,2011,1,1,1,na,216,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,217,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,218,2011,2011,2011,13.3
B,B1,0,2011,1,1,1,na,219,2011,2011,2011,12.9
B,B1,0,2011,1,1,1,na,220,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,221,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,222,2011,2011,2011,11.7
B,B1,0,2011,1,1,1,na,223,2011,2011,2011,15.6
B,B1,0,2011,1,1,1,na,224,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,225,2011,2011,2011,11.5
B,B1,0,2011,1,1,1,na,226,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,227,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,228,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,229,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,230,2011,2011,2011,11.3
B,B1,0,2011,1,1,1,na,231,2011,2011,2011,11
B,B1,0,2011,1,1,1,na,232,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,233,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,234,2011,2011,2011,12.2
B,B1,0,2011,1,1,1,na,235,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,236,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,237,2011,2011,2011,11.8
B,B1,0,2011,1,1,1,na,238,2011,2011,2011,10.3
B,B1,0,2011,1,1,1,na,239,2011,2011,2011,10
B,B1,0,2011,1,1,1,na,240,2011,2011,2011,11.1
B,B1,0,2011,1,1,1,na,241,2011,2011,2011,10.9
B,B1,0,2011,1,1,1,na,242,2011,2011,2011,15.5
B,B1,0,2011,1,1,1,na,243,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,244,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,245,2011,2011,2011,11.9
B,B1,0,2011,1,1,1,na,246,2011,2011,2011,10.4
B,B1,0,2011,1,1,1,na,247,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,248,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,249,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,250,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,251,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,252,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,253,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,254,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,255,2011,2011,2011,11.2
B,B1,0,2011,1,1,1,na,256,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,257,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,258,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,259,2011,2011,2011,9.5
B,B1,0,2011,1,1,1,na,260,2011,2011,2011,11.8
B,B1,0,2011,1,1,1,na,261,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,262,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,263,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,264,2011,2011,2011,10.4
B,B1,0,2011,1,1,1,na,265,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,266,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,267,2011,2011,2011,8.4
B,B1,0,2011,1,1,1,na,268,2011,2011,2011,12.8
B,B1,0,2011,1,1,1,na,269,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,270,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,271,2011,2011,2011,14.6
B,B1,0,2011,1,1,1,na,272,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,273,2011,2011,2011,8
B,B1,0,2011,1,1,1,na,274,2011,2011,2011,9.7
B,B1,0,2011,1,1,1,na,275,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,276,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,277,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,278,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,279,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,280,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,281,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,282,2011,2011,2011,8.6
B,B1,0,2011,1,1,1,na,283,2011,2011,2011,11.4
B,B1,0,2011,1,1,1,na,284,2011,2011,2011,17
B,B1,0,2011,1,1,1,na,285,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,286,2011,2011,2011,12.3
B,B1,0,2011,1,1,1,na,287,2011,2011,2011,11.3
B,B1,0,2011,1,1,1,na,288,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,289,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,290,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,291,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,292,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,293,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,294,2011,2011,2011,11.7
B,B1,0,2011,1,1,1,na,295,2011,2011,2011,15.8
B,B1,0,2011,1,1,1,na,296,2011,2011,2011,10.8
B,B1,0,2011,1,1,1,na,297,2011,2011,2011,10.7
B,B1,0,2011,1,1,1,na,298,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,299,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,300,2011,2011,2011,10.5
B,B1,0,2011,1,1,1,na,301,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,302,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,303,2011,2011,2011,9.2
B,B1,0,2011,1,1,1,na,304,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,305,2011,2011,2011,11
B,B1,0,2011,1,1,1,na,306,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,307,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,308,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,309,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,310,2011,2011,2011,NA
